feature,priority_group,proposed_shared_type,dataset_336_representation,dataset_857_representation,transform_allowed,transform_rule_summary,shared_external_validation_ready,manual_review_required,manual_review_notes
ane,binary_first,binary_categorical,yes/no text,0/1 numeric,yes_after_direction_confirmation,"Map dataset 336 yes/no to an explicit binary code only after confirming whether dataset 857 uses 1=positive and 0=negative.",conditional,yes,Needs confirmation of 857 binary direction before any shared 0/1 encoding rule is finalized.
cad,binary_first,binary_categorical,yes/no text,0/1 numeric,yes_after_direction_confirmation,"Map dataset 336 yes/no to an explicit binary code only after confirming whether dataset 857 uses 1=positive and 0=negative.",conditional,yes,Needs confirmation of 857 binary direction before any shared 0/1 encoding rule is finalized.
dm,binary_first,binary_categorical,yes/no text,0/1 numeric,yes_after_direction_confirmation,"Map dataset 336 yes/no to an explicit binary code only after confirming whether dataset 857 uses 1=positive and 0=negative.",conditional,yes,Needs confirmation of 857 binary direction before any shared 0/1 encoding rule is finalized.
htn,binary_first,binary_categorical,yes/no text,0/1 numeric,yes_after_direction_confirmation,"Map dataset 336 yes/no to an explicit binary code only after confirming whether dataset 857 uses 1=positive and 0=negative.",conditional,yes,Needs confirmation of 857 binary direction before any shared 0/1 encoding rule is finalized.
pe,binary_first,binary_categorical,yes/no text,0/1 numeric,yes_after_direction_confirmation,"Map dataset 336 yes/no to an explicit binary code only after confirming whether dataset 857 uses 1=positive and 0=negative.",conditional,yes,Needs confirmation of 857 binary direction before any shared 0/1 encoding rule is finalized.
appet,category_mapping_required,binary_or_nominal_categorical,good/poor text,0/1 numeric,yes_after_mapping_confirmation,"Do not assume the numeric direction in dataset 857. Build an explicit category mapping table first, then decide whether the feature is binary ordinal or nominal.",conditional,yes,Mapping between good/poor and 0/1 is not yet justified.
ba,category_mapping_required,binary_or_nominal_categorical,present/notpresent text,0/1 numeric,yes_after_mapping_confirmation,"Do not assume the numeric direction in dataset 857. Build an explicit category mapping table first, then decide whether the feature is binary categorical.",conditional,yes,Mapping between present/notpresent and 0/1 is not yet justified.
pc,category_mapping_required,binary_or_nominal_categorical,normal/abnormal text,0/1 numeric,yes_after_mapping_confirmation,"Do not assume the numeric direction in dataset 857. Build an explicit category mapping table first, then decide whether the feature is binary categorical or ordinal.",conditional,yes,Mapping between normal/abnormal and 0/1 is not yet justified.
pcc,category_mapping_required,binary_or_nominal_categorical,present/notpresent text,0/1 numeric,yes_after_mapping_confirmation,"Do not assume the numeric direction in dataset 857. Build an explicit category mapping table first, then decide whether the feature is binary categorical.",conditional,yes,Mapping between present/notpresent and 0/1 is not yet justified.
rbc,category_mapping_required,binary_or_nominal_categorical,normal/abnormal text,0/1 numeric,yes_after_mapping_confirmation,"Do not assume the numeric direction in dataset 857. Build an explicit category mapping table first, then decide whether the feature is binary categorical or ordinal.",conditional,yes,Mapping between normal/abnormal and 0/1 is not yet justified.
age,numeric_or_binned_hard_case,manual_review_required,continuous numeric,binned text with suspected spreadsheet artifacts,not_yet,"Do not auto-convert. First determine whether dataset 857 age bins are trustworthy, reversible, and methodologically acceptable for external validation.",no,yes,Dataset 857 contains values like 20-Dec and >= 74, so semantic cleanup is required before any shared rule.
al,numeric_or_binned_hard_case,manual_review_required,low-cardinality numeric,binned text with suspected spreadsheet artifacts,not_yet,"Do not auto-convert. First determine whether dataset 857 albumin values were discretized intentionally or corrupted by spreadsheet date formatting.",no,yes,Dataset 857 contains values like 1-Jan and 2-Feb, so direct harmonization is not defensible yet.
su,numeric_or_binned_hard_case,manual_review_required,low-cardinality numeric,binned text with suspected spreadsheet artifacts,not_yet,"Do not auto-convert. First determine whether dataset 857 sugar values were discretized intentionally or corrupted by spreadsheet date formatting.",no,yes,Dataset 857 contains values like 2-Jan and 4-Apr, so direct harmonization is not defensible yet.
bgr,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
bu,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
hemo,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
pcv,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
pot,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
rbcc,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
sc,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
sg,numeric_or_binned_hard_case,manual_review_required,ordinal numeric-like values,interval or pre-binned text,not_yet,"Decide whether shared treatment should be ordinal bins, numeric midpoint mapping, or exclusion from shared external validation.",no,yes,Specific gravity appears ordinal in 336 but interval-binned in 857.
sod,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
wbcc,numeric_or_binned_hard_case,manual_review_required,continuous numeric,interval or pre-binned text,not_yet,"Decide whether the dataset 857 representation should remain as ordered bins, be mapped to bin midpoints, or be excluded from shared external validation.",no,yes,Cross-dataset numeric meaning may be similar but the representation space is different.
